Hole Depth: ft,Flow In: gal/min,GCT IN Mud Temp: F,GCT OUT Mud Temp: F,Mud Density In: lb/ft3,Mud Density Out: lb/ft3,ROP Average: ft/hr,RPM:,Torque LAS:,WOB: Klb,Standpipe Pressure: psi,QC Delta Carbon Dioxide: ppm
7067,1084.7424935862,173.84,163.76,-999.25,74.0000000078,13.5224,160.346066454,-999.25,41.7545,3214.988,82.11751
7068,1098.5771554707,173.84,163.4,-999.25,74.0000000078,12.8328,206.5024277302,-999.25,22.4233,3186.5957957025,73.51449
7069,1097.2107010991,173.84,163.04,-999.25,74.0000000078,19.0638,205.5139009188,-999.25,24.5206,3180,69.48444
7070,1096.1677532344,173.84,162.86,-999.25,74.0000000078,19.494,205.5902098516,-999.25,17.9393,3199.4999999999,68.85999
7071,1092.5883189927,173.84,162.86,-999.25,74.0000000078,17.9061,203.5010005594,-999.25,36.597,3150.25,69.78697
7072,1096.5565869074,173.84,162.86,-999.25,74.0000000078,17.6029,214.0320111314,-999.25,28.3375,3175.05,83.34339
7073,1011.3941161749,173.84,163.04,-999.25,74.0000000078,25.831,182.9402424365,-999.25,24.295,3179.875,93.01626
7074,1147.0228881921,173.84,163.22,-999.25,74.0000000078,27.9373,221.3175680173,-999.25,40.4741,3167.465,116.04549
7075,1185.9319527932,173.84,163.22,-999.25,74.0000000078,30.7028,224.4412751483,-999.25,25.1909,3163.965,149.12431
7076,1189.2870268377,173.84,163.4,-999.25,74.0000000078,37.1314,217.0884995999,-999.25,40.4307,3160.465,165.33862
7077,1181.7070848427,173.84,163.58,-999.25,74.0000000078,57.6955999999,215.4849,-999.25,39.6896,3156.965,179.755
7078,1190.6256398,173.84,163.58,-999.25,74.0000000078,21.5689,217.5182,-999.25,29.2866,3153.465,180.05887
7079,1188.772915114,173.84,163.76,-999.25,74.0000000078,16.5628,218.1496040368,-999.25,31.8504,3149.93,211.0182400001
7080,1189.3091813536,173.84,163.94,-999.25,74.0000000078,19.1796,218.1701857587,-999.25,33.2002,3146.57,253.954
7081,1189.8214308511,173.84,164.12,-999.25,74.0000000078,20.6924,217.7018321783,-999.25,26.3794,3150.05,254.26924
7082,1190.7152867739,173.84,164.3,-999.25,74.0000000078,26.8622,217.4480580183,-999.25,29.373,3155.025,285.8355399999
7083,1190.8491287695,173.84,164.12,-999.25,74.0000000078,26.0378,217.8316827911,-999.25,37.4918,3157.5425,320.88046
7084,1193.8533139521,173.84,163.22,-999.25,74.0000000078,20.8126,218.5198958395,-999.25,27.8288,3161.826,286.9859000001
7085,1194.0466428858,173.84,163.58,-999.25,74.0000000078,17.9268,217.9272783558,-999.25,30.71,3165.626,333.21134
7086,998.0830733861,173.84,163.76,-999.25,74.0000000078,14.3142,155.6399232174,-999.25,30.71,3169.388,418.42788
7087,996.4352954012,173.84,163.76,-999.25,74.0000000078,11.7187,158.323513133,-999.25,30.71,3173.188,421.9011099999
7088,998.9042224335,173.84,163.76,-999.25,74.0000000078,7.6613,192.729055331,-999.25,30.71,3176.988,393.6080799999
7089,998.0757385835,173.84,163.94,-999.25,74.0000000078,10.8546,213.8536502035,-999.25,17.57,3180.788,305.6746100001
7090,1193.79770982,173.84,163.4,-999.25,74.0000000078,20.248,217.2697573528,-999.25,26.18,3184.626,234.158
7091,1190.169657103,173.84,163.76,-999.25,74.0000000078,21.5547,217.3252999822,-999.25,32.05,3188.388,233.43615
7092,1191.6965887529,173.84,164.3,-999.25,74.0000000078,15.1534,211.0172458364,-999.25,24.86,3192.188,161.88249
7093,1191.7370729467,173.84,164.48,-999.25,74.0000000078,21.3953,210.8207380464,-999.25,31.95,3195.988,152.85621
7094,1192.2580013734,173.84,164.48,-999.25,74.0000000078,17.9885,215.7346719624,-999.25,31.04,3199.788,146.14986
7095,1192.2574675254,173.84,164.66,-999.25,74.0000000078,20.7856,215.9428,-999.25,22.48,3203.588,126.99506
7096,1192.7230750506,173.84,164.66,-999.25,74.0000000078,18.336,215.0392711131,-999.25,15.85,3207.426,123.6158
7097,1194.2559494639,173.84,164.84,-999.25,74.0000000078,16.6333,212.2899898111,-999.25,19.29,3211.188,122.67931
7098,1195,173.84,164.84,-999.25,74.0000000078,13.0584,200.1893,-999.25,22.31,3215.102,122.86596
7099,1189.8548957145,173.84,165.74,-999.25,74.0000000078,14.4787,201.2348118128,-999.25,26.07,3186.5957957025,116.90145
7100,1190.0531839787,173.84,165.74,-999.25,74.0000000078,16.3334,208.679861166,-999.25,31.54,3195,96.72588
7101,1189.7850140116,173.84,165.74,-999.25,74.0000000078,16.7279,214.5932327557,-999.25,24.66,3198.5,94.21746
7102,1190.595214461,173.84,165.74,-999.25,74.0000000078,18.602,214.6122569518,-999.25,21.62,3150.25,90.374
7103,1190.3152809066,173.84,165.74,-999.25,74.0000000078,18.893,214.7707317508,-999.25,20.61,3175.1,96.3704000001
7104,1189.2682131331,173.84,165.74,-999.25,74.0000000078,23.426,215.1114512056,-999.25,23.24,3179.875,128.42523
7105,1188.9306309127,173.84,-999.25,-999.25,74.0000000078,21.0811,214.5494293713,-999.25,29.01,3167.465,147.0266600001
7106,1190.3198377903,173.84,166.1,-999.25,74.0000000078,24.2123,214.9984409465,-999.25,32.05,3163.965,174.14157
7107,1195.6254707119,173.84,166.1,-999.25,74.0000000078,29.3423,215.9032526746,-999.25,29.82,3160.395,275.64636
7108,1199.2428267983,173.84,166.1,-999.25,74.0000000078,27.7047,215.3983904261,-999.25,33.06,3156.965,316.46174
